"날씨"	"가장 좋아하는 계절은 무엇인가요? 이유는요?"	"비 오는 날에는 주로 뭘 하며 시간을 보내세요?"	"이번 주말에 날씨가 좋으면 어떤 계획을 세우고 싶으세요?"
"여행"	"최근에 다녀온 여행지 중 가장 기억에 남는 곳은 어디인가요?"	"가보고 싶은 여행지가 있다면 어디인가요?"	"혼자 떠나는 여행과 함께 떠나는 여행 중 어떤 걸 선호하세요?"
"음식"	"요즘 가장 자주 먹는 음식은 무엇인가요?"	"좋아하는 음식점이 있나요? 추천해 주실 곳이 있을까요?"	"집에서 요리하는 걸 좋아하시나요? 주로 어떤 요리를 만드세요?"
"음악"	"요즘 즐겨 듣는 음악이 있나요?"	"좋아하는 가수나 밴드는 누구인가요?"	"콘서트에 가본 적 있으신가요? 가장 기억에 남는 콘서트는요?"
"책"	"최근에 읽은 책 중 추천하고 싶은 책이 있나요?"	"어떤 장르의 책을 주로 읽으세요?"	"종이책과 전자책 중 어떤 걸 선호하시나요?"
"스포츠"	"어떤 스포츠를 가장 좋아하시나요?"	"요즘 관심 있게 보는 경기나 팀이 있으신가요?"	"운동할 때 꼭 챙기는 필수 아이템이 있나요?"
"가족"	"어렸을 때 기억에 남는 가족 여행이 있으신가요?"	"가족 간의 전통이나 특별한 가족 문화가 있나요?"	"가족과 함께한 특별한 순간이 있다면 어떤 것인가요?"
"직업"	"꿈꾸는 직업이 있다면 어떤 일인가요?"	"지금 하시는 일이 어떤 점에서 가장 만족스러우신가요?"	"일하면서 힘들었던 경험 중에 배운 점이 있다면 무엇인가요?"
"휴가"	"가장 기억에 남는 휴가지가 있다면 어디인가요?"	"계획적인 여행과 즉흥적인 여행 중 어떤 걸 더 선호하시나요?"	"버킷리스트에 있는 여행지는 어디인가요?"
"반려동물"	"키우고 싶은 반려동물이 있다면 어떤 동물인가요?"	"반려동물을 키우신다면 이름과 종류가 어떻게 되나요?"	"반려동물을 키운다면 어떤 점이 가장 행복하게 느껴지나요?"
"기술"	"요즘 관심 있게 배우고 있는 기술이 있나요?"	"기술 발전 중 가장 흥미로운 분야는 무엇이라고 생각하시나요?"	"새로운 기술에 적응할 때 어떤 방법을 사용하시나요?"
"패션"	"요즘 가장 좋아하는 옷 스타일은 무엇인가요?"	"쇼핑할 때 가장 중요하게 생각하는 것은 무엇인가요?"	"좋아하는 패션 브랜드가 있으신가요?"
"교통"	"운전하면서 가장 스트레스를 받는 상황은 어떤 경우인가요?"	"여행 중 방문한 도시에서 기억에 남는 교통수단은 무엇이었나요?"	"자율주행차가 상용화된다면 가장 기대되는 점은 무엇일까요?"
"건강"	"평소에 건강을 위해 실천하고 있는 습관이 있다면 무엇인가요?"	"스트레스를 받을 때 가장 효과적으로 해소하는 방법은 무엇인가요?"	"요즘 관심 있는 운동이나 스포츠가 있다면 무엇인가요?"
"교육"	"학창 시절 가장 기억에 남는 선생님이나 과목은 무엇이었나요?"	"공부할 때 가장 효과적이라고 느끼는 방법은 무엇인가요?"	"지금 배우고 싶은 언어가 있다면 어떤 언어인가요?"
"요리"	"요즘 자주 만들어 먹는 요리가 있다면 무엇인가요?"	"최근에 도전해본 새로운 요리 레시피가 있나요?"	"좋아하는 요리 프로그램이나 유튜브 채널이 있다면 추천해 주세요."
"예술"	"가장 감명 깊게 본 미술 전시회나 작품이 있다면 무엇인가요?"	"최근에 들은 음악 중에서 가장 인상 깊었던 곡은 무엇인가요?"	"창작 활동(그림, 글쓰기 등)을 해본 적이 있다면 어떤 경험이 있었나요?"
"쇼핑"	"최근에 구입한 물건 중 가장 만족스러운 물건은 무엇인가요?"	"온라인 쇼핑과 오프라인 쇼핑 중 어떤 걸 더 선호하시나요?"	"지금 꼭 사고 싶은 물건이나 아이템이 있다면 무엇인가요?"
"뉴스"	"최근에 가장 관심 있는 뉴스는 무엇인가요?"	"뉴스를 볼 때 주로 TV, 인터넷, 아니면 신문 중 무엇을 이용하나요?"	"뉴스 중에서 가장 충격적이었던 사건은 무엇이었나요?"
"게임"	"게임을 할 때 주로 혼자 하시나요, 아니면 친구들과 함께 하시나요?"	"최근에 새로 출시된 게임 중에서 관심 있는 게임이 있나요?"	"요즘 어떤 게임이 가장 재미있다고 느끼세요?"
"축제"	"축제에서 가장 맛있게 먹었던 음식은 무엇인가요?"	"가보고 싶은 지역 축제가 있다면 어디인가요?"	"최근에 다녀온 축제 중에서 기억에 남는 곳이 있나요?"
"공연"	"가장 감명 깊게 본 공연은 어떤 공연인가요?"	"요즘 가보고 싶은 공연이 있으신가요?"	"공연을 보러 갈 때는 어떤 요소를 가장 중요하게 보세요?"
"전시회"	"가장 인상 깊게 본 전시회는 무엇이었나요?"	"가보고 싶은 전시회가 있다면 무엇인가요?"	"전시회를 통해 새로운 영감을 얻은 경험이 있나요?"
"운동"	"운동을 시작하기 가장 좋은 시간대는 언제라고 생각하세요?"	"혼자 운동하는 것과 함께 운동하는 것, 어떤 게 더 좋나요?"	"요즘 어떤 운동을 즐기고 계신가요?"
"계절"	"계절마다 좋아하는 음식이나 음료가 있으신가요?"	"날씨가 바뀌면서 좋아하는 옷 스타일도 달라지시나요?"	"이번 계절에 가장 기억에 남는 추억은 무엇인가요?"
"휴일"	"이번 휴일에는 특별히 계획하신 일이 있으신가요?"	"휴일에 집에서 쉬는 것과 외출하는 것 중 어떤 걸 선호하시나요?"	"휴일을 더 알차게 보내기 위해 어떤 방법을 추천하시겠어요?"
"트렌드"	"요즘 가장 관심 있는 트렌드는 무엇인가요?"	"새로운 트렌드를 접할 때 주로 어떤 경로로 정보를 얻으시나요?"	"트렌드에 민감한 편인가요, 아니면 나만의 스타일을 고수하시나요?"
"앱"	"요즘 가장 자주 사용하는 앱은 무엇인가요?"	"최근에 발견한 유용한 앱이 있으신가요?"	"지금까지 써본 앱 중에서 가장 인상 깊었던 앱은 무엇인가요?"
"팟캐스트"	"요즘 즐겨 듣는 팟캐스트가 있으신가요?"	"팟캐스트를 듣는 주된 시간대는 언제인가요?"	"추천해주고 싶은 팟캐스트 주제가 있다면 무엇인가요?"
"드라마"	"요즘 보고 있는 드라마가 있으신가요?"	"드라마를 보면서 느꼈던 최고의 반전이나 명장면은 무엇인가요?"	"드라마 속 캐릭터 중에서 가장 공감되거나 닮고 싶은 인물이 있나요?"
"연예인"	"좋아하는 연예인이 있다면 그 이유는 무엇인가요?"	"최근 연예계 소식 중에서 가장 흥미롭게 본 뉴스는 무엇인가요?"	"좋아하는 연예인이 나온 작품이나 무대를 추천해주실 수 있나요?"
"자동차"	"가장 좋아하는 자동차 브랜드는 무엇인가요?"	"자동차를 구매할 때 가장 중요하게 생각하는 점은 무엇인가요?"	"드림카가 있다면 어떤 차인가요?"
"집"	"집에서 가장 좋아하는 공간은 어디인가요?"	"집안 분위기를 바꾸고 싶을 때 어떤 방법을 사용하나요?"	"집에서 가장 자주 하는 활동은 무엇인가요?"
"정원"	"정원에서 키우고 싶은 식물이나 꽃이 있나요?"	"정원 관리가 어렵다고 느낀 적이 있나요?"	"정원을 꾸밀 때 가장 중요하게 생각하는 요소는 무엇인가요?"
"인테리어"	"집 인테리어에서 가장 중요하다고 생각하는 색상이나 스타일은 무엇인가요?"	"최근 트렌디한 인테리어 아이템 중 하나를 고르자면 무엇을 선택하시겠어요?"	"인테리어를 위해 영감을 얻는 방법이 있나요?"
"식물"	"키우는 식물 중 가장 애정이 가는 식물이 있나요?"	"식물 관리 팁 중 가장 효과적이었던 방법은 무엇인가요?"	"식물 키우기 초보자를 위해 추천할 만한 식물이 있나요?"
"커피"	"가장 좋아하는 커피 종류는 무엇인가요?"	"커피를 마실 때 특별히 좋아하는 장소가 있나요?"	"아침에 커피를 마시지 않으면 하루가 어떻게 느껴지나요?"
"차"	"차를 마시며 주로 하는 활동이 있다면 무엇인가요?"	"차를 마실 때 마음이 가장 편안해지는 순간은 언제인가요?"	"가장 좋아하는 차의 종류는 무엇인가요?"
"와인"	"와인을 즐길 때 좋아하는 안주가 있다면 무엇인가요?"	"와인을 고를 때 가장 중요하게 고려하는 요소는 무엇인가요?"	"와인을 처음 접했을 때의 경험을 기억하시나요?"
"맥주"	"가장 좋아하는 맥주 스타일은 무엇인가요?"	"여행 중에 독특한 맥주를 마셔본 적이 있나요?"	"맥주와 잘 어울리는 안주를 추천해 주실 수 있나요?"
"칵테일"	"좋아하는 칵테일이 있다면 이름과 이유를 알려주세요."	"칵테일을 직접 만들어 본 적이 있다면 어떤 걸 만들었나요?"	"칵테일을 마실 때 선호하는 바나 장소가 있나요?"
"디저트"	"가장 좋아하는 디저트가 뭐예요?"	"디저트를 직접 만들어본 적이 있나요? 어떤 걸 만들었나요?"	"요즘 인기 있는 디저트 중에서 시도해보고 싶은 게 있나요?"
"아침식사"	"아침은 매일 챙겨 드시는 편인가요?"	"아침에 자주 먹는 메뉴가 뭐예요?"	"아침 대신 간단히 먹기 좋은 추천 음식이 있나요?"
"점심식사"	"점심 메뉴를 고를 때 가장 중요하게 생각하는 건 뭐예요?"	"점심에 가볍게 먹는 걸 선호하시나요, 아니면 든든히 먹는 걸 좋아하시나요?"	"회사나 학교에서 가장 자주 먹는 점심 메뉴는 뭐예요?"
"저녁식사"	"저녁은 주로 혼자 드세요, 아니면 함께 드세요?"	"특별한 날 저녁 메뉴로 추천하고 싶은 요리가 있나요?"	"저녁에 외식을 하신다면 어떤 음식을 가장 자주 드시나요?"
"간식"	"가장 좋아하는 간식은 무엇인가요?"	"어렸을 때 즐겨 먹던 간식 중 기억나는 게 있나요?"	"일하면서 자주 찾게 되는 간식이 있나요?"
"다이어트"	"다이어트를 할 때 가장 힘들었던 점은 뭐였나요?"	"성공적으로 다이어트를 한 적이 있다면, 어떤 방법이 효과적이었나요?"	"다이어트 중 가장 포기하기 힘든 음식이 있다면 무엇일까요?"
"요가"	"요가를 처음 시작할 때 어떤 점이 가장 어렵던가요?"	"추천할 만한 요가 자세나 동작이 있나요?"	"요가 매트를 고를 때 중요하게 생각하는 점은 무엇인가요?"
"명상"	"명상을 할 때 가장 집중이 잘 되는 환경은 어떤가요?"	"명상을 통해 얻은 가장 큰 변화는 무엇인가요?"	"명상 초보자에게 추천할 만한 방법이 있나요?"
"수면"	"요즘 평균적으로 몇 시간 정도 주무시나요?"	"잠들기 전에 꼭 하는 습관이 있나요?"	"낮잠을 자는 것에 대해 어떻게 생각하세요?"
"꿈"	"최근에 인상 깊었던 꿈이 있었나요?"	"꿈이 현실에 영향을 준 적이 있었나요?"	"꿈의 내용을 기억하기 위해 특별히 노력해 본 적이 있나요?"
"목표"	"올해 가장 중요한 목표는 무엇인가요?"	"목표를 세울 때 어떤 점을 가장 중요하게 생각하나요?"	"목표를 달성했을 때 어떻게 자신을 보상하나요?"
"성공"	"최근에 가장 성공적으로 느꼈던 순간은 언제였나요?"	"성공의 기준은 개인마다 다르다고 생각하는데, 당신의 기준은 무엇인가요?"	"성공을 위해 가장 중요한 요소는 무엇이라고 생각하나요?"
"실패"	"가장 큰 실패에서 배운 점은 무엇인가요?"	"실패를 극복하기 위해 사용하는 방법이 있나요?"	"실패가 성공의 발판이 될 수 있다고 믿나요?"
"도전"	"최근에 가장 도전적이었던 일이 무엇인가요?"	"새로운 도전을 시작하기 전에 어떻게 준비하나요?"	"도전을 통해 자신에 대해 새롭게 알게 된 점이 있나요?"
"변화"	"최근에 당신의 삶에서 가장 큰 변화는 무엇이었나요?"	"변화를 두려워하지 않고 즐기려면 어떻게 해야 할까요?"	"변화를 받아들이는 것이 어려울 때는 어떻게 대처하나요?"
"습관"	"하루 중 가장 중요한 습관은 무엇인가요?"	"새로운 습관을 만들 때 어떤 방식이 효과적인가요?"	"나쁜 습관을 고치기 위해 어떤 노력을 하나요?"
"루틴"	"아침에 꼭 하는 루틴이 있다면 무엇인가요?"	"일과 중 가장 좋아하는 루틴은 무엇인가요?"	"루틴이 깨졌을 때 어떻게 다시 돌아오나요?"
"시간관리"	"시간을 잘 관리하지 못했다고 느꼈던 순간은 언제였나요?"	"우선순위를 정할 때 어떤 기준을 사용하나요?"	"시간이 부족하다고 느낄 때 어떻게 대처하나요?"
"생산성"	"생산성을 높이기 위해 사용하는 도구나 방법이 있나요?"	"일할 때 집중력을 유지하려면 어떻게 해야 할까요?"	"생산성을 떨어뜨리는 가장 큰 요인은 무엇인가요?"
"스트레스"	"최근에 스트레스를 해소하기 위해 어떤 방법을 사용했나요?"	"스트레스를 풀기 위해 주로 하는 활동은 무엇인가요?"	"스트레스 관리를 위해 추천할 만한 팁이 있나요?"
"휴식"	"하루 중 가장 편안하게 쉴 수 있는 시간은 언제인가요?"	"휴식을 취할 때 좋아하는 장소가 있나요?"	"당신에게 이상적인 휴식이란 어떤 모습인가요?"
"여가"	"여가 시간을 가장 즐겁게 보내는 방법은 무엇인가요?"	"여가를 위해 주말에 특별히 계획하는 것이 있나요?"	"여가 시간에 주로 함께하는 사람이 있나요?"
"취미"	"최근에 시작한 새로운 취미가 있나요?"	"당신이 가장 오래 이어온 취미는 무엇인가요?"	"다른 사람들에게 추천하고 싶은 취미가 있나요?"
"악기"	"연주할 줄 아는 악기가 있나요?"	"요즘 배우고 싶다고 생각하는 악기가 있나요?"	"가장 좋아하는 악기의 소리는 무엇인가요?"
"노래"	"당신이 가장 좋아하는 노래는 무엇인가요?"	"노래방에 가면 꼭 부르는 곡이 있나요?"	"특정 노래가 떠오르는 추억이 있나요?"
"춤"	"춤추는 것을 좋아하나요?"	"배워보고 싶은 춤의 장르가 있나요?"	"춤추는 것을 보고 가장 인상 깊었던 순간은 언제였나요?"
"그림"	"그림을 그릴 때 어떤 재료를 가장 좋아하나요?"	"최근에 그려본 그림 중 기억에 남는 것은 무엇인가요?"	"그림 그리기를 처음 시작한 계기가 있나요?"
"사진"	"가장 최근에 찍은 사진은 어떤 장면이었나요?"	"사진 촬영 시 가장 중요하게 생각하는 요소는 무엇인가요?"	"사진 찍는 것을 좋아하는 이유는 무엇인가요?"
"글쓰기"	"가장 최근에 쓴 글의 주제는 무엇인가요?"	"글을 쓸 때 주로 영감을 얻는 방법은 무엇인가요?"	"글쓰기 도중 막혔을 때 어떻게 극복하나요?"
"독서"	"가장 감명 깊게 읽은 책은 무엇인가요?"	"요즘 읽고 있는 책이 있나요?"	"좋아하는 작가나 장르가 있나요?"
"영화"	"영화를 선택할 때 가장 중요하게 보는 요소는 무엇인가요?"	"극장에서 영화를 볼 때와 집에서 볼 때, 어떤 차이가 있나요?"	"좋아하는 영화 장르나 감독이 있나요?"
"박물관"	"방문해본 박물관 중 가장 인상 깊었던 곳은 어디인가요?"	"박물관에서 보고 싶은 특별한 전시나 테마가 있나요?"	"박물관을 통해 배운 가장 흥미로운 사실은 무엇인가요?"
"미술관"	"미술관에서 본 작품 중 가장 기억에 남는 것은 무엇인가요?"	"좋아하는 미술관이나 전시회가 있나요?"	"미술관을 방문할 때 가장 기대되는 순간은 언제인가요?"
"동물원"	"동물원에서 가장 보고 싶은 동물은 무엇인가요?"	"동물원을 방문할 때 가장 기대하는 점은 무엇인가요?"	"동물 보호를 위해 동물원에서 할 수 있는 일은 무엇일까요?"
"수족관"	"수족관에서 가장 인상 깊었던 생물은 무엇인가요?"	"수족관에서 본 전시 중 기억에 남는 테마는 무엇인가요?"	"수족관에서 시간을 보내는 것을 좋아하는 이유는 무엇인가요?"
"놀이공원"	"놀이공원에서 가장 좋아하는 놀이기구는 무엇인가요?"	"놀이공원에서의 추억 중 가장 특별한 것은 무엇인가요?"	"가고 싶은 놀이공원이 있다면 어디인가요?"
"해변"	"가장 좋아하는 해변 휴가지는 어디인가요?"	"바다에서 어떤 활동을 가장 좋아하시나요? (수영, 서핑, 조개 줍기 등)"	"해변에서 즐길 수 있는 음식이나 간식은 무엇인가요?"
"산"	"등산할 때 어떤 준비물을 꼭 챙기시나요?"	"산에서 만난 야생동물 중 가장 기억에 남는 것은 무엇인가요?"	"산에서의 경치 중 가장 아름다웠던 순간은 언제였나요?"
"호수"	"가장 좋아하는 호수는 어디인가요?"	"호수에서 즐길 수 있는 수상 스포츠 중 어떤 것이 가장 재미있으셨나요?"	"호수 주변에서 자주 하는 활동은 무엇인가요? (낚시, 산책 등)"
"숲"	"숲에서 만난 특별한 식물이나 나무가 있으신가요?"	"숲에서 가장 좋아하는 소리는 무엇인가요? (새소리, 바람소리 등)"	"숲에서의 트레킹 중 가장 멋진 풍경을 만난 때는 언제였나요?"
"공원"	"가장 자주 가는 공원은 어디인가요?"	"공원에서 어떤 종류의 활동을 가장 즐기시나요? (피크닉, 산책 등)"	"공원의 자연 요소 중 가장 좋아하는 것은 무엇인가요? (꽃, 나무, 호수 등)"
"캠핑"	"가장 기억에 남는 캠핑 경험은 무엇인가요?"	"캠핑에서 꼭 챙겨야 할 필수 아이템이 무엇인가요?"	"캠핑을 하며 느꼈던 가장 평화로운 순간은 언제였나요?"
"피크닉"	"가장 기억에 남는 피크닉 장소는 어디인가요?"	"피크닉에서 가장 좋아하는 활동은 무엇인가요? (독서, 게임 등)"	"피크닉을 떠올리며 가장 즐거웠던 순간은 언제였나요?"
"등산"	"가장 도전하고 싶은 산은 어디인가요?"	"등산에서 만난 사람들 중 가장 인상 깊은 사람은 누구인가요?"	"등산 중에 찍었던 가장 멋진 풍경 사진은 어디에서 촬영된 것인가요?"
"자전거"	"자전거 타는 곳 중 가장 좋아하는 장소는 어디인가요?"	"자전거를 타며 느낀 가장 좋은 순간은 언제였나요?"	"자전거 타기에 필요한 최고의 조언은 무엇인가요?"
"수영"	"수영을 배우게 된 특별한 계기가 있으신가요?"	"수영 중 즐기는 스타일은 무엇인가요? (자유형, 접영 등)"	"수영 후 가장 즐거운 활동은 무엇인가요?"
"스키"	"스키를 타기 위해 가장 좋아하는 목적지가 어디인가요?"	"스키 초보자들에게 추천하는 팁이 있다면 무엇인가요?"	"스키 여행 중 가장 기억에 남는 에피소드가 있다면 어떤 것인가요?"
"서핑"	"서핑을 시작한 계기가 무엇인가요?"	"서핑을 하면서 가장 멋졌던 파도는 언제였나요?"	"서핑을 함께 하고 싶은 이상적인 해변은 어디인가요?"
"요트"	"요트를 타고 가장 멋진 풍경을 경험한 장소는 어디였나요?"	"가장 기억에 남는 요트 여행지는 어디인가요?"	"요트에서 꼭 해보고 싶은 활동은 무엇인가요?"
"낚시"	"낚시를 처음 시작하게 된 계기가 무엇인가요?"	"가장 기억에 남는 낚시 여행지는 어디인가요?"	"가장 큰 물고기를 잡았던 순간이 언제였나요?"
"골프"	"골프를 시작하게 된 계기가 무엇인가요?"	"골프 중 가장 어려웠던 기술은 무엇인가요?"	"골프 스윙 중 가장 신경 쓰는 부분은 무엇인가요?"
"테니스"	"좋아하는 테니스 선수나 선수 스타일이 있나요?"	"테니스 경기를 관람하거나 참여한 경험이 있으신가요?"	"테니스 대회 중 인상 깊었던 순간이나 유명한 매치가 있으신가요?"
"축구"	"축구를 보거나 플레이할 때 가장 좋아하는 팀은 무엇인가요?"	"가장 기억에 남는 축구 경기나 순간은 무엇인가요?"	"축구 선수 중 누구의 플레이 스타일을 따라하고 싶나요?"
"야구"	"가장 좋아하는 야구 팀은 어디인가요?"	"야구 경기 중 어떤 포지션을 가장 선호하나요?"	"야구 경기 중 가장 기억에 남는 순간이 있으신가요?"
"농구"	"농구를 할 때 가장 선호하는 포지션은 무엇인가요?"	"좋아하는 농구 선수 중 누구를 가장 좋아하나요?"	"농구 코트에서 가장 도전이 되는 기술이나 상황은 무엇인가요?"
"배구"	"배구 경기를 할 때 어떤 포지션이 가장 흥미로운가요?"	"배구 팀 중 가장 좋아하는 팀이 있나요?"	"배구 경기 중 가장 멋지다고 느낀 순간이 언제였나요?"
"탁구"	"탁구 경기 중 가장 재미있었던 순간은 언제였나요?"	"탁구에서 가장 힘든 점은 무엇인가요?"	"탁구 선수 중에서 가장 존경하는 인물이 누구인가요?"
"배드민턴"	"배드민턴을 할 때 어떤 유형의 플레이어인지 궁금합니다. (예: 공격적, 수비적)"	"배드민턴에서 선호하는 샷 종류가 무엇인가요?"	"배드민턴 경기 중 기억에 남는 상대가 있나요?"
"볼링"	"볼링에서 가장 기억에 남는 스코어나 게임이 무엇인가요?"	"볼링을 즐길 때 선호하는 투구 스타일이 있으신가요?"	"볼링 경기 중 최고의 순간은 언제였나요?"
"당구"	"당구를 치면서 가장 좋아하는 룸이나 장소가 어디인가요?"	"당구 게임 중 가장 어려운 순간은 무엇이었나요?"	"당구에서 가장 신경 쓰이는 부분은 무엇인가요?"
"다트"	"다트를 시작하게 된 계기는 무엇인가요?"	"다트 게임에서 가장 어려운 점은 무엇인가요?"	"다트와 관련된 특별한 추억이 있으신가요?"
"보드게임"	"가장 좋아하는 보드게임은 무엇인가요?"	"보드게임을 할 때 팀을 짜는 걸 선호하시나요, 혼자서 플레이하는 걸 선호하시나요?"	"보드게임 중에 전략적인 게임과 운이 중요한 게임 중 어떤 걸 더 선호하시나요?"
"퍼즐"	"퍼즐을 푸는 것이 왜 재미있다고 생각하시나요?"	"퍼즐 중에서 가장 도전이 된 퍼즐은 무엇이었나요?"	"퍼즐을 푸는 데 걸리는 평균 시간이 얼마나 되나요?"
"카드게임"	"가장 좋아하는 카드게임은 무엇인가요?"	"카드게임에서 가장 중요한 전략 요소는 무엇인가요?"	"카드게임 중에서 운이 중요한 게임과 전략이 중요한 게임 중 어떤 걸 더 선호하시나요?"
"비디오게임"	"가장 좋아하는 비디오게임은 무엇인가요?"	"멀티플레이 게임과 싱글플레이 게임 중 어떤 걸 더 선호하시나요?"	"비디오게임에서 가장 인상 깊었던 캐릭터는 누구인가요?"
"온라인게임"	"가장 많이 플레이하는 온라인 게임은 무엇인가요?"	"온라인 게임을 통해 새로운 친구나 커뮤니티를 만난 경험이 있으신가요?"	"게임 내에서 어떤 캐릭터나 클래스가 가장 흥미로우셨나요?"
"모바일게임"	"가장 자주 플레이하는 모바일 게임은 무엇인가요?"	"모바일 게임을 선택할 때 가장 중요하게 생각하는 요소는 무엇인가요?"	"모바일 게임에서 가장 즐기는 요소는 무엇인가요?"
"가상현실"	"가상현실을 통해 가장 인상 깊었던 경험이 있으신가요?"	"가상현실 기술이 우리의 일상에 미치는 영향을 어떻게 생각하시나요?"	"가상현실과 현실 세계 간의 경계를 넘나드는 기술이 앞으로 어떤 발전을 이룰 수 있을까요?"
"증강현실"	"증강현실 기술이 실생활에 가장 많이 사용될 분야는 어디라고 생각하시나요?"	"증강현실을 활용한 마케팅 사례 중 기억에 남는 것이 있으신가요?"	"증강현실이 일상생활에 어떤 편리함을 제공할 수 있을까요?"
"인공지능"	"인공지능 기술이 가장 빠르게 발전할 분야는 어디일까요?"	"인공지능이 우리의 일자리에 어떤 변화를 줄 것이라고 생각하시나요?"	"AI 기술을 통해 가장 흥미로운 가능성이 무엇일까요?"
"로봇"	"로봇 기술이 산업 분야에 미치는 변화는 무엇인가요?"	"로봇이 인간을 대신해 할 수 있는 가장 흥미로운 작업은 무엇일까요?"	"로봇 기술이 우리의 일상생활에 미치는 긍정적인 영향은 무엇일까요?"
"드론"	"드론 기술이 가장 많이 사용될 분야는 어디일까요?"	"드론이 우리의 여행 방식에 어떤 변화를 줄 수 있을까요?"	"드론이 환경 보호에 기여할 수 있는 방법에는 어떤 것이 있을까요?"
